State_Code,NIC_2digit,A_formal,w_for_mean,Q_out_mean,L_formal_total,N_firms,Year,w_inf_mean,N_informal,State_Name,E_s,ln_w_inf,ln_A_formal,ln_Q_out
04,13,3781.076210806465,182106.97790468798,0,240.47333333333333,1,2022-23,29.796104792520122,80,Chandigarh,0,3.3943776733074467,8.237763959944466,0
04,14,2906634.839108911,284309.0717821782,0,53.86666666666667,1,2022-23,35.49208471476594,146,Chandigarh,0,3.5693097058395638,14.88250655730925,0
05,13,2246029.79877652,181654.0560120971,0,20390.723333333335,18,2022-23,97.07763298778323,75,Uttarakhand,0.017837838,4.546541779781984,14.624674681679833,0
05,14,954524.8126345472,156460.22947048195,0,6626.873333333333,7,2022-23,51.24182076148598,31,Uttarakhand,0.017837838,3.936556010384062,13.768968917236515,0
06,13,1922234.220215816,167452.2357893687,1.2550110638233906e-6,340762.82636019174,179,2022-23,45.0780254751293,34,Haryana,0.102930809,3.808394887749337,14.46899872384308,1.2550102762130939e-6
06,14,977267.0419086745,186598.18970176272,2.2240009658428586e-4,353706.6423638604,158,2022-23,40.67870522253943,162,Haryana,0.102930809,3.7057047423193383,13.792515222140832,1.747810166151887e-4
07,13,3135963.390988688,282996.0720554828,0,7862.163333333333,21,2022-23,39.603965886188234,194,Delhi,0.079858334,3.6789292618870117,14.958446986592424,0
07,14,1290847.1370623524,220098.42378031733,1.0480688662208417e-4,55069.485,69,2022-23,28.853563194864655,244,Delhi,0.079858334,3.362233492948629,14.070809256204958,1.0480139476404436e-4
08,13,2558119.9441596637,203316.09070632776,1.2407603963350296e-5,378682.208811659,186,2022-23,35.84552470841216,165,Rajasthan,0.166061376,3.5792187254572077,14.754783149841673,1.2407526989690022e-5
08,14,2109568.996155574,177730.2590528321,7.036744496376077e-6,158796.48332617333,155,2022-23,31.081081988599983,100,Rajasthan,0.166061376,3.436599337911505,14.561994217362011,7.036719738654363e-6
10,13,1274133.5488305374,95322.99872453955,0,8457.653333333334,8,2022-23,43.36284110388665,334,Bihar,0.014015512,3.769602878598435,14.05777693601794,0
10,14,1974726.5622961512,269402.1803652968,0,111.93333333333334,2,2022-23,41.41364325199297,116,Bihar,0.014015512,3.7236103736921224,14.495940497262044,0
13,13,424725.2054794521,49315.06849315069,0,2.433333333333333,1,2022-23,69.79744454360096,9,Nagaland,0.052093023,4.245597397974928,12.959197663444105,0
14,13,407516.7671218113,82195.54431268065,0,145.98666666666668,4,2022-23,29.189600156205938,46,Manipur,1,3.3738124868005004,12.91783735712776,0
15,13,263978.27924318094,119107.69005506499,0,321.01666666666665,21,2022-23,57.18489186887961,238,Mizoram,0.375,4.0462897353313245,12.483622103149619,0
15,14,198330.9313823721,102500.4296711373,0,605.2033333333334,20,2022-23,45.996946913248905,187,Mizoram,0.375,3.828575022835302,12.197692285109207,0
17,13,638630.1369863014,77533.00124533002,0,26.766666666666666,1,2022-23,58.84899830878839,244,Meghalaya,0.282131661,4.074974812470319,13.367080750423494,0
18,13,1962750.7420644343,127717.24826767005,0,7354.233333333334,18,2022-23,28.81971048875422,35,Assam,0.164521693,3.361059545023148,14.489857487134273,0
18,14,481225.1250744491,98879.72900536034,0,114.36666666666667,2,2022-23,25.67756374721042,46,Assam,0.164521693,3.2456176046644347,13.084090475091264,0
20,13,675544.048378561,118344.12739022651,0,1190.1866666666667,4,2022-23,41.974750709671206,93,Jharkhand,0.09673679,3.737068263926819,13.4232736428109,0
20,14,441960.77741123876,116626.94770071561,0,19568.86666666667,8,2022-23,15.192368760525333,23,Jharkhand,0.09673679,2.7207932465517093,12.998976418233706,0
21,13,1193283.4529374174,111016.70017763952,0,7647.416666666666,17,2022-23,31.86313800697222,82,Odisha,0.349385246,3.461449793259226,13.992219269620707,0
21,14,467850.898558466,95263.02023201493,0,29752.74,3,2022-23,29.654199472238254,16,Odisha,0.349385246,3.3896037502285776,13.055904931314517,0
22,13,1446432.5227122959,165688.91077545655,0,2874.233333333333,12,2022-23,33.687797654620965,78,Chhatisgarh,0.206974128,3.5171356843888737,14.184610753649544,0
22,14,1132.357312722949,87947.62187871581,0,44.85333333333333,1,2022-23,31.35765629578085,125,Chhatisgarh,0.206974128,3.445458457223201,7.978204431574296,0
23,13,2451487.542236665,161895.7571955106,6.769583196461549e-6,166307.43,76,2022-23,31.287139746257647,77,Madhya Pradesh,0.148540355,3.4432071423890105,14.71220555837039,6.769560282928238e-6
23,14,2266055.246549106,204221.93317956908,0,39963.96666666667,12,2022-23,53.03207084954291,47,Madhya Pradesh,0.148540355,3.970896840915399,14.633551100921212,0
24,13,3039073.7489917283,227716.5467707967,1.74806530755567e-5,882268.8022373067,440,2022-23,33.47341371291217,132,Gujarat,0.477071243,3.5107515032374637,14.927063339123968,1.7480500290661277e-5
24,14,3246950.1887122625,189035.16909507936,3.201327817258724e-5,86956.87836570811,92,2022-23,89.45880898710568,27,Gujarat,0.477071243,4.493778284559334,14.993226710256584,3.20127657585398e-5
27,13,2145244.0652492386,240441.0375401525,2.2145861618876557e-4,470435.6210422907,280,2022-23,34.95053616412538,2,Maharashtra,0.122546488,3.553933809452718,14.578763887204401,1.747810166151887e-4
27,14,2870286.4814139116,208439.3289019958,6.533565505350759e-7,168664.5645428848,153,2022-23,34.69209874253033,9,Maharashtra,0.122546488,3.546511959080419,14.869922402062171,6.533563372021741e-7
28,13,919274.7557243194,134122.51256735495,0,235517.16333333333,130,2022-23,21.119205082427527,30,Andhra Pradesh,0.155661116,3.050182819987092,13.731340329150992,0
28,14,619036.5567176664,130425.89669933321,7.713549091238114e-5,89034.16166666667,22,2022-23,27.385134762168097,17,Andhra Pradesh,0.155661116,3.310000339244869,13.335919607625103,7.713251612336667e-5
29,13,2442427.293539538,197496.71603672777,1.0903960325130495e-5,85301.68133333334,73,2022-23,61.10250512945523,6,Karnataka,0.403184386,4.1125528658191355,14.708502895225536,1.0903900877360526e-5
29,14,1011368.8448734358,195682.3732019147,1.6333117358550257e-5,1124627.974707402,154,2022-23,43.022904068987764,6,Karnataka,0.403184386,3.761732626651589,13.826815263192163,1.633298397469338e-5
30,13,1210952.7714882893,203382.91933765548,0,2604.773333333333,6,2022-23,34.2220547842797,9,Goa,0.196787149,3.5328703129582344,14.006918022177937,0
30,14,311969.34984520124,177215.1702786378,0,6.46,1,2022-23,58.17539076331872,6,Goa,0.196787149,4.063462426197489,12.650660224290347,0
32,13,1221345.6176061698,188755.75096711263,0,66670.9436194456,82,2022-23,44.63784870071611,182,Kerala,0.24396477,3.7985821247235156,14.01546377414112,0
32,14,501147.0647112608,159294.64351782494,0,29877.77,29,2022-23,43.36846071746122,214,Kerala,0.24396477,3.7697324653442674,13.124654879329725,0
33,13,1641645.1938363551,131408.48439614451,9.502420834210322e-7,1615206.68081973,856,2022-23,19.722302389668247,4,Tamil Nadu,0.31293779,2.9817500963992387,14.311209463938038,9.502416319842254e-7
33,14,1010086.1161430314,135301.4034112346,2.2862921709909445e-5,1717396.0250321915,888,2022-23,16.014219871265674,16,Tamil Nadu,0.31293779,2.773477069496594,13.825546148690668,2.286266035722091e-5
34,13,2074553.7553215872,240025.18281231294,0,3870.7733333333335,9,2022-23,14.563838040890627,42,Puducherry,0.163536418,2.6785416097412345,14.545256630842374,0
34,14,374442.6022278623,139024.67073364818,0,533.9533333333334,3,2022-23,39.26149087874748,51,Puducherry,0.163536418,3.6702441626241815,12.833193805113979,0
36,14,731119.9568918754,180229.66664740787,0,15450.243333333334,12,2022-23,14.330164788561735,6,Telangana,0.260333371,2.6623667413246754,13.502332824984318,0
01,13,812088.6086373241,179680.68031291076,0,32998.926666666666,17,2023-24,29.81442522098948,261,Jammu and Kashmir,0.653626732,3.394992344206767,13.607364737127822,0
01,14,383197.75512436935,156739.59834559407,0,2304.2066666666665,10,2023-24,26.06596172383332,105,Jammu and Kashmir,0.653626732,3.260630314674753,12.856306466826739,0
03,13,1737310.2366082813,147068.15095581097,3.0472916595656206e-6,591685.1377467132,142,2023-24,25.45496980461629,16,Punjab,0.094777288,3.2369110011275612,14.367848634115989,3.0472870166908586e-6
03,14,1270273.1754010797,140758.65570911413,0,667697.6012536506,182,2023-24,41.50880195103849,111,Punjab,0.094777288,3.725905499953391,14.054742534045364,0
